year,level_1,level_2,value
2009,Total,15-19 Years,843
2009,Total,20-24 Years,549
2009,Total,25-29 Years,373
2009,Total,30 Years & Over,402
2010,Total,Under 5 Years,1174
2010,Total,5-9 Years,2129
2010,Total,10-14 Years,1394
2010,Total,15-19 Years,878
2010,Total,20-24 Years,558
2010,Total,25-29 Years,422
2010,Total,30 Years & Over,414
2011,Total,Under 5 Years,1322
2011,Total,5-9 Years,2191
2011,Total,10-14 Years,1319
2011,Total,15-19 Years,990
2011,Total,20-24 Years,627
2011,Total,25-29 Years,371
2011,Total,30 Years & Over,414
2012,Total,Under 5 Years,1268
2012,Total,5-9 Years,2084
2012,Total,10-14 Years,1254
2012,Total,15-19 Years,859
2012,Total,20-24 Years,608
2012,Total,25-29 Years,379
2012,Total,30 Years & Over,441
2013,Total,Under 5 Years,1254
2013,Total,5-9 Years,2196
2013,Total,10-14 Years,1265
2013,Total,15-19 Years,951
2013,Total,20-24 Years,621
2013,Total,25-29 Years,386
2013,Total,30 Years & Over,460
2014,Total,Under 5 Years,1286
2014,Total,5-9 Years,2023
2014,Total,10-14 Years,1271
2014,Total,15-19 Years,848
2014,Total,20-24 Years,572
2014,Total,25-29 Years,415
2014,Total,30 Years & Over,446
2015,Total,Under 5 Years,1382
2015,Total,5-9 Years,2163
2015,Total,10-14 Years,1180
2015,Total,15-19 Years,926
2015,Total,20-24 Years,627
2015,Total,25-29 Years,368
2015,Total,30 Years & Over,471
